cosmic_version	sample_id	sbs3_relative_exposure_true	hrd_column	recovered_hrd_fraction	bg_column	recovered_bg_fraction	sbs40_columns	recovered_sbs40_fraction
2	SIM-00028	0.3991	Signature_3	0.567568	Signature_5	0.0		0.0
2	SIM-00064	0.2639	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00082	0.304	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00100	0.428	Signature_3	1.0	Signature_5	0.0		0.0
2	SIM-00163	0.3177	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00166	0.3292	Signature_3	0.372093	Signature_5	0.0		0.0
2	SIM-00207	0.3238	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00225	0.3674	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00313	0.2703	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00400	0.3995	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00423	0.4283	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00428	0.1332	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00460	0.1379	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00529	0.3453	Signature_3	0.733333	Signature_5	0.0		0.0
2	SIM-00574	0.6005	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00591	0.4297	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00780	0.283	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00851	0.2467	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00875	0.2775	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00883	0.2159	Signature_3	0.0	Signature_5	1.0		0.0
2	SIM-00905	0.2576	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00947	0.1751	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-00994	0.4914	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-01023	0.3631	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-01046	0.4226	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-01082	0.1171	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-01146	0.3778	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-01151	0.3062	Signature_3	0.0	Signature_5	0.0		0.0
2	SIM-01227	0.2452	Signature_3	0.635417	Signature_5	0.0		0.0
2	SIM-01263	0.3657	Signature_3	0.0	Signature_5	0.0		0.0
