arm	seed_index	seed	b	ci_low	ci_high	bootstrap_median	contains_injected
CORE_HR	0	88000195	500	4.440580858336972	5.749354898864942	5.049294167776559	False
CORE_HR	1	88001195	500	4.450907508346544	5.654425443191727	5.054891917618409	False
CORE_HR	2	88002195	500	4.517507648723354	5.722464106366309	5.077721769531017	False
CORE_HR	3	88003195	500	4.505689426792189	5.6725164755861615	5.046930220073017	False
CORE_HR	4	88004195	500	4.517212470395219	5.689855707808441	5.075248732081955	False
CORE_HR	5	88005195	500	4.439876146153209	5.7735634562778	5.061415121987256	False
CORE_HR	6	88006195	500	4.456634100274339	5.742730416986982	5.046881810268609	False
CORE_HR	7	88007195	500	4.51516000670197	5.8030882934081	5.058285449393271	False
CORE_HR	8	88008195	500	4.469612487312903	5.771560722415404	5.070528895247338	False
CORE_HR	9	88009195	500	4.471392721493519	5.78708997971056	5.088356434709812	False
CORE_HR	10	88010195	500	4.462216201129485	5.6365683228763	5.064455924422035	False
CORE_HR	11	88011195	500	4.485847347497664	5.7305073811909395	5.0563302794271525	False
CORE_HR	12	88012195	500	4.457660916341149	5.7558974769182765	5.037289450200384	False
CORE_HR	13	88013195	500	4.4225937301565965	5.78234064255712	5.0384095336185695	False
CORE_HR	14	88014195	500	4.413756671030076	5.754274907846227	5.0331874042036695	False
DDR_SIGNALING	0	88000843	500	4.295256734299885	5.44899605326424	4.84879230893891	True
DDR_SIGNALING	1	88001843	500	4.34947212186464	5.418554950450758	4.835312112053501	True
DDR_SIGNALING	2	88002843	500	4.315511284374282	5.555207350270608	4.868089073386276	True
DDR_SIGNALING	3	88003843	500	4.284066401290903	5.45029820038315	4.846253956836467	True
DDR_SIGNALING	4	88004843	500	4.341158602438862	5.486306221995578	4.840940640607544	True
DDR_SIGNALING	5	88005843	500	4.30733431259998	5.569339956951671	4.856008147557881	True
DDR_SIGNALING	6	88006843	500	4.304958528804837	5.50900706424607	4.83936786051377	True
DDR_SIGNALING	7	88007843	500	4.263580530477082	5.482209056325031	4.87145355948771	True
DDR_SIGNALING	8	88008843	500	4.33625557860765	5.53840107252287	4.852169465552967	True
DDR_SIGNALING	9	88009843	500	4.3002188280923	5.464389783772932	4.842729743819511	True
DDR_SIGNALING	10	88010843	500	4.273731241297472	5.427871655804704	4.84548759795498	True
DDR_SIGNALING	11	88011843	500	4.329690621502775	5.492631964102623	4.850292091244469	True
DDR_SIGNALING	12	88012843	500	4.323524952393358	5.456482162142628	4.852527280573275	True
DDR_SIGNALING	13	88013843	500	4.267539370489602	5.475896643910935	4.823842220612556	True
DDR_SIGNALING	14	88014843	500	4.308762322537373	5.4499950942392665	4.858350435762237	True
