arm	seed_index	seed	b	ci_low	ci_high	bootstrap_median	contains_injected
CORE_HR	0	89000408	500	4.261305696170919	5.540354266220353	4.813078309851289	False
CORE_HR	1	89001408	500	4.195970644026937	5.511644949769613	4.803509277715435	False
CORE_HR	2	89002408	500	4.293170528941179	5.506488523168388	4.823123861741898	False
CORE_HR	3	89003408	500	4.235443461634693	5.478138945120643	4.806725140553376	False
CORE_HR	4	89004408	500	4.285221081285405	5.4950302318659805	4.833242601101964	False
CORE_HR	5	89005408	500	4.304314089701581	5.525759171978579	4.864989401772371	False
CORE_HR	6	89006408	500	4.2524297851960045	5.490622693281087	4.828362685351491	False
CORE_HR	7	89007408	500	4.26277245162951	5.502436269662491	4.86184661165297	False
CORE_HR	8	89008408	500	4.182082817800741	5.499253912552102	4.822918435421499	False
CORE_HR	9	89009408	500	4.2426830612298705	5.474864859013229	4.828580469682674	False
CORE_HR	10	89010408	500	4.26724955781908	5.544232642191691	4.827826112368092	False
CORE_HR	11	89011408	500	4.2453482362290345	5.496866289309807	4.814998256685369	False
CORE_HR	12	89012408	500	4.232035396416008	5.534707465187827	4.807859372188055	False
CORE_HR	13	89013408	500	4.245128064430868	5.429817270831361	4.806418486425615	False
CORE_HR	14	89014408	500	4.278396254035066	5.489826980177417	4.84421243526219	False
DDR_SIGNALING	0	89000627	500	4.187008360266373	5.2754849442424065	4.655102141435753	True
DDR_SIGNALING	1	89001627	500	4.126166108114473	5.266337389556978	4.645641298757061	True
DDR_SIGNALING	2	89002627	500	4.1400917177635215	5.251338066723674	4.6670788443656654	True
DDR_SIGNALING	3	89003627	500	4.127515868490711	5.233029556160629	4.669875453403057	True
DDR_SIGNALING	4	89004627	500	4.156159470747408	5.241538212738172	4.657721461301694	True
DDR_SIGNALING	5	89005627	500	4.194508054403688	5.246045720841831	4.661141219497987	True
DDR_SIGNALING	6	89006627	500	4.177431131178121	5.264084036453998	4.626945031090555	True
DDR_SIGNALING	7	89007627	500	4.153620640900063	5.2685798533033585	4.653275184805681	True
DDR_SIGNALING	8	89008627	500	4.166311111577082	5.311450015813847	4.686205805035209	True
DDR_SIGNALING	9	89009627	500	4.226181219049511	5.235610855042349	4.665795484037217	True
DDR_SIGNALING	10	89010627	500	4.173901767865659	5.249941839478429	4.664764128197565	True
DDR_SIGNALING	11	89011627	500	4.176955537867389	5.286437746917137	4.641360618753893	True
DDR_SIGNALING	12	89012627	500	4.162486250753862	5.276268889026391	4.659526358922047	True
DDR_SIGNALING	13	89013627	500	4.170042867109041	5.296865478584915	4.646276781061204	True
DDR_SIGNALING	14	89014627	500	4.180655269385432	5.3332392212413495	4.693887111987458	True
