Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SIM-00028	111	0.723	83.504	75.229%	11.925	69.196%	0.55737	0.414
SIM-00064	44	0.605	52.824	120.055%	6.767	79.75%	1000.0	0.353
SIM-00082	72	0.718	59.477	82.607%	7.714	70.419%	1000.0	0.397
SIM-00100	52	0.597	56.945	109.51%	7.301	80.626%	0.94193	0.223
SIM-00163	48	0.618	53.895	112.281%	6.879	78.908%	1.05059	0.334
SIM-00166	43	0.683	42.537	98.923%	5.516	73.061%	0.79062	0.443
SIM-00207	21	0.475	32.47	154.619%	5.358	88.085%	1.65106	0.347
SIM-00225	97	0.694	79.17	81.619%	10.611	73.398%	1000.0	0.321
SIM-00313	95	0.752	76.307	80.323%	10.186	65.888%	1000.0	0.534
SIM-00400	71	0.673	69.524	97.921%	9.226	74.105%	1000.0	0.421
SIM-00423	6	0.332	10.78	179.667%	2.311	94.346%	2.5817	0.229
SIM-00428	58	0.688	59.507	102.598%	7.616	72.616%	0.83059	0.476
SIM-00460	42	0.677	40.249	95.831%	5.95	75.565%	0.87795	0.51
SIM-00529	60	0.694	58.729	97.882%	7.29	72.182%	0.79807	0.437
SIM-00574	86	0.72	75.143	87.376%	9.463	69.762%	0.73624	0.436
SIM-00591	45	0.596	51.872	115.271%	7.488	80.28%	1.07833	0.386
SIM-00780	97	0.708	83.297	85.873%	11.26	70.791%	1000.0	0.443
SIM-00851	29	0.467	41.784	144.083%	6.202	88.6%	1.48942	0.232
SIM-00875	44	0.634	49.708	112.973%	6.827	77.301%	1000.0	0.441
SIM-00883	105	0.702	88.353	84.146%	11.62	72.203%	0.61758	0.37
SIM-00905	67	0.665	62.495	93.276%	8.401	75.141%	0.74001	0.363
SIM-00947	76	0.695	69.099	90.92%	8.76	72.498%	0.72816	0.386
SIM-00994	20	0.489	30.048	150.24%	4.616	87.234%	1.53933	0.327
SIM-01023	37	0.569	44.733	120.9%	5.684	82.91%	1000.0	0.248
SIM-01046	21	0.544	30.094	143.305%	4.197	83.94%	1.4194	0.372
SIM-01082	105	0.767	89.838	85.56%	11.848	64.35%	1000.0	0.622
SIM-01146	23	0.595	30.573	132.926%	4.328	80.369%	1.51093	0.45
SIM-01151	56	0.62	60.057	107.245%	7.812	78.913%	0.86245	0.316
SIM-01227	96	0.737	79.487	82.799%	10.213	67.637%	0.60017	0.459
SIM-01263	55	0.676	53.559	97.38%	6.967	73.85%	0.85269	0.411
SIM-01320	41	0.671	41.342	100.834%	7.384	74.212%	0.9803	0.576
SIM-01384	20	0.495	27.836	139.18%	6.226	127.088%	1000.0	0.429
SIM-01451	95	0.774	68.776	72.396%	8.98	63.658%	1000.0	0.508
SIM-01474	67	0.592	67.223	100.333%	9.292	81.185%	0.86177	0.189
SIM-01485	105	0.715	85.024	80.975%	11.082	70.229%	0.61914	0.349
SIM-01545	80	0.679	77.729	97.161%	10.495	73.48%	0.74852	0.447
SIM-01554	85	0.724	70.959	83.481%	9.55	69.101%	1000.0	0.471
SIM-01591	41	0.544	50.353	122.812%	6.679	84.147%	1.14395	0.208
SIM-01608	61	0.738	52.674	86.351%	7.048	67.508%	0.68048	0.541
SIM-01609	63	0.614	64.118	101.775%	8.102	79.831%	0.84467	0.172
SIM-01675	46	0.561	51.84	112.696%	7.441	83.193%	1.06084	0.269
SIM-01680	57	0.662	56.234	98.656%	7.618	75.062%	0.81962	0.411
SIM-01717	95	0.775	66.31	69.8%	8.964	63.544%	1000.0	0.51
SIM-01719	58	0.692	54.376	93.752%	7.024	72.447%	0.74949	0.424
SIM-01743	87	0.637	79.698	91.607%	11.284	78.053%	0.76171	0.299
SIM-01748	36	0.662	40.477	112.436%	4.976	75.016%	0.94212	0.436
SIM-01753	86	0.624	83.893	97.55%	11.45	79.013%	0.82528	0.282
SIM-01777	72	0.704	63.448	88.122%	8.297	71.675%	0.69443	0.424
SIM-01838	18	0.447	28.56	158.667%	4.196	89.459%	1.69191	0.234
SIM-01896	24	0.566	33.104	137.933%	4.517	82.469%	1.34502	0.389
SIM-01899	43	0.584	51.773	120.402%	7.31	81.222%	1.06506	0.368
SIM-01960	78	0.732	69.467	89.06%	9.424	68.369%	1000.0	0.557
SIM-01992	98	0.712	88.247	90.048%	12.326	74.464%	0.79044	0.537
SIM-01993	53	0.616	58.252	109.909%	7.919	78.797%	0.92882	0.355
SIM-02010	99	0.74	80.168	80.978%	10.748	67.307%	0.6044	0.501
SIM-02013	61	0.697	54.071	88.641%	7.041	72.239%	1000.0	0.395
SIM-02053	44	0.545	48.154	109.441%	7.499	88.377%	1000.0	0.316
SIM-02058	64	0.663	64.357	100.558%	8.423	75.038%	1000.0	0.4
SIM-02101	102	0.706	91.546	89.751%	12.754	70.856%	0.67518	0.496
SIM-02188	20	0.55	28.951	144.755%	4.268	83.702%	1.40081	0.422
SIM-02246	75	0.731	69.038	92.051%	9.188	68.294%	1000.0	0.562
SIM-02330	11	0.408	18.277	166.155%	3.028	91.298%	1000.0	0.242
SIM-02393	49	0.683	49.459	100.937%	6.736	73.062%	0.84605	0.495
SIM-02419	71	0.67	62.496	88.023%	8.353	75.316%	0.76899	0.314
SIM-02432	65	0.744	56.18	86.431%	7.376	67.055%	0.85719	0.552
SIM-02433	56	0.703	53.342	95.254%	8.424	71.196%	0.78372	0.583
SIM-02468	30	0.495	41.359	137.863%	5.656	87.274%	1.46472	0.215
SIM-02469	77	0.78	62.887	81.671%	8.739	62.581%	0.65086	0.654
SIM-02481	90	0.703	83.359	92.621%	11.337	71.135%	0.74551	0.492
SIM-02483	73	0.644	72.429	99.218%	9.645	76.975%	0.87175	0.341
SIM-02537	27	0.613	36.697	135.915%	6.073	79.064%	1.55986	0.533
SIM-02568	94	0.643	87.369	92.946%	11.959	77.519%	1000.0	0.299
SIM-02609	105	0.758	82.371	78.449%	10.803	65.867%	0.55618	0.529
SIM-02617	43	0.558	55.105	128.151%	7.916	82.982%	1.18536	0.356
SIM-02623	34	0.598	40.049	117.791%	5.44	80.208%	1000.0	0.363
SIM-02633	92	0.719	73.741	80.153%	10.174	69.875%	1000.0	0.436
SIM-02644	88	0.664	83.198	94.543%	10.575	75.924%	0.73652	0.314
SIM-02652	110	0.732	87.588	79.625%	11.923	68.383%	0.59634	0.467
SIM-02682	31	0.564	39.919	128.771%	5.782	82.6%	1.34796	0.378
SIM-02723	87	0.684	76.745	88.213%	10.367	73.49%	0.69927	0.379
SIM-02767	63	0.672	62.062	98.511%	8.229	74.198%	0.78871	0.421
SIM-02792	33	0.574	43.014	130.345%	5.85	81.916%	1.20926	0.37
SIM-02800	55	0.634	57.636	104.793%	8.291	77.314%	1000.0	0.42
SIM-02873	23	0.592	31.296	136.07%	4.659	81.103%	1.23966	0.49
SIM-02898	30	0.466	41.879	139.597%	6.64	90.359%	1.69055	0.285
SIM-02910	82	0.708	71.127	86.74%	9.213	71.08%	1000.0	0.411
SIM-02931	29	0.576	37.636	129.779%	5.105	81.745%	1.15722	0.372
SIM-02936	53	0.672	54.149	102.168%	7.145	74.09%	0.8527	0.447
SIM-02944	41	0.54	50.353	122.812%	6.735	84.853%	1.14766	0.223
SIM-02968	25	0.568	33.398	133.592%	4.6	82.618%	1.41696	0.387
